# time zupt px py pz vx vy vz bax bay baz dt clones
131.044478 0 -39.5575141523  9.17671695494 -12.9882724298  1.75421799764  1.92924391006 -0.77395198004  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
131.09656 0 -39.4657734688  9.27760594329 -13.0285654641   1.76857363357   1.94503583678 -0.772296684427  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
131.148641 0 -39.3733033428  9.37928265693 -13.0688600577   1.78275209489   1.95944296755 -0.773511389538  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
131.200723 0 -39.2801477416  9.48169633334 -13.1088833316   1.79498572107   1.97271521336 -0.767520253517  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
131.252804 0 -39.1863101921  9.58482134426 -13.1485321641   1.80747574674   1.98667589928 -0.753763455652  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
131.304886 0 -39.0918995444  9.68865374486 -13.1876290123   1.81672015542     1.999345178 -0.749981590191  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
131.356962 0 -38.9972304809  9.79304668754 -13.2265965627   1.81725248909   2.00907940185 -0.747774714903  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
131.409049 0 -38.9026819607   9.8979731174 -13.2655609942  1.81166242132  2.01966854028 -0.75007405533  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
131.46113 0 -38.8086612482  10.0034035866 -13.3047211051   1.79774780121    2.0289520466 -0.755919358996  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
131.513211 0 -38.7155256321  10.1092364763 -13.3446835039   1.77825664898   2.03541433727 -0.776876679613  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
131.565293 0  -38.623448057  10.2154576174 -13.3854735319   1.75834761728   2.04326019176 -0.791895811034  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
131.617375 0  -38.532379141  10.3220482227 -13.4270918103   1.73946281352   2.05062675756 -0.804178669544  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
131.669456 0 -38.4422097525  10.4290288134 -13.4691145165     1.724183185    2.0589089007 -0.807344179288  0.206375919362 -0.222061226292 -0.067862125146 0.00202586397776 11
