# time zupt px py pz vx vy vz bax bay baz dt clones
11.866709711 0 0 0 0 0 0 0 0.00553960834821  -0.173712299523 -0.0504682904353 0.00181335584555 0
12.917647 0   0.00104683863371  0.000415480559717 -0.000436065265963 -0.00430055438071 0.000777742258611  0.00181700547666 0.00553960834821  -0.173712299523 -0.0504682904353 0.00181335584555 1
12.96973 1    0.0077592562426  -0.00198786380653 -0.000529609779629  0.00683012477454 -0.00364687983158  0.00164513974052 0.00548687871757  -0.173598836306 -0.0502715985775 0.00181335584555 1
13.021814 1   0.00523299423194  -0.00131002198316 -0.000467299552646  0.00342680438405 -0.00229047648023   0.0017621409755 0.00550154915165  -0.173683596855 -0.0503738468268 0.00181335584555 1
13.073897 1  0.00189894540101 -0.00177439460931  -0.0009435632049 -0.00179137360613 -0.00302103675446 0.000852981390073  0.0054635018501  -0.172829984847 -0.0502137266369 0.00181335584555 1
13.12598 1  0.00128025714651 -0.00178729486652 -0.00078968994883 -0.00311663673391 -0.00314175039185  0.00114497132293 0.00547364497564  -0.173094990819 -0.0502996700761 0.00181335584555 1
13.178064 1   0.00142701479011  -0.00149303013741 -0.000666192622682  -0.0034614835299 -0.00282356654208  0.00137958940688 0.00549071100889  -0.173314374401 -0.0503478309209 0.00181335584555 1
13.230147 1  0.000653226406556  -0.00159381003873 -0.000339289803959 -0.00517225480997 -0.00291162983007   0.0020006026679 0.00550489251706   -0.17388009095 -0.0505222899202 0.00181335584555 1
13.28223 1 -0.000750647574271  -0.00144659583224 -6.63800623347e-05 -0.00757083139366 -0.00265093986259  0.00251862357665 0.00552309173294  -0.174344883726 -0.0506900935312 0.00181335584555 1
13.334308 1 -0.00148911857103 -0.00136128864822 0.000306986427938 -0.00905344801257  -0.0024665046913  0.00322825787772 0.00554490677286  -0.174990394899 -0.0508903348174 0.00181335584555 1
13.386397 1 -0.00223441065002 -0.00143220301213 0.000710502117399  -0.0104065100934 -0.00252253644467  0.00399539365239 0.00556435962312  -0.175687455797  -0.051108565819 0.00181335584555 1
13.43848 1 -0.00229630180221 -0.00117103368631 0.000651764871153  -0.0104345372292 -0.00210177687908  0.00388362693868 0.00556748280517  -0.175584241559 -0.0510816116966 0.00181335584555 1
13.490563 1 -0.00129633896491 -0.00104074936269 0.000353580109485 -0.00842475710638 -0.00188187186208  0.00331740085251 0.00555398615514  -0.175070599878 -0.0509150153042 0.00181335584555 1
13.542647 1 -0.000293158599891 -0.000893289316863  -1.4145095983e-05 -0.00647568542043  -0.0015819447102  0.00261877079112 0.00553607308694  -0.174436515974 -0.0507120134985 0.00181335584555 1
13.594731 1  0.000851364298177 -0.000799014278542 -0.000357949806018 -0.00436643264344 -0.00139021089359  0.00196572412414  0.0055186195651  -0.173845536375 -0.0505165393349 0.00181335584555 1
13.646813 1   0.00141656230125  -0.00079748652546 -0.000667334572322 -0.00318916599178 -0.00142071911046  0.00137767830969 0.00550216727857  -0.173310054235 -0.0503519217001 0.00181335584555 1
13.698897 1   0.00223210512512 -0.000531198908252 -0.000906757583408 -0.00168540985739 -0.00100334511332 0.000922926327673 0.00549567413905  -0.172898454281 -0.0502153351952 0.00181335584555 1
13.75098 1   0.00281307740538 -0.000619906343225   -0.0010089762401 -0.000609417387522  -0.00112378680917  0.000729031429997 0.00548743384197  -0.172724236044 -0.0501526410904 0.00181335584555 1
13.803058 1     0.003212105503 -0.000505436786833  -0.00123942901949 0.000141536136826 -0.00090324685198 0.000290905820912 0.00547683101131   -0.17232572879 -0.0500288405007 0.00181335584555 1
13.855147 1   0.00340893729338 -0.000417261495992  -0.00137273987616   0.00056076022472 -0.000751848676929  3.74699724898e-05 0.00547145226396  -0.172094670373 -0.0499586836191 0.00181335584555 1
13.90723 1   0.00367494122231 -0.000268943235807  -0.00151358896802   0.00105328765115 -0.000520265842397 -0.000230286089986 0.00546744281547  -0.171851212445 -0.0498824103399 0.00181335584555 1
13.959314 1   0.00375311276128 -0.000361718659423  -0.00152020992824    0.0012106579326 -0.000674834362203 -0.000242789437318 0.00546488501901   -0.17184014347 -0.0498777846952 0.00181335584555 1
14.011397 1   0.00387504995374 -0.000404891186792  -0.00147251199982   0.00139573462485 -0.000697287148641 -0.000151921336764 0.00546561849555  -0.171924153909 -0.0498988294612 0.00181335584555 1
14.06348 1   0.00374677490916 -0.000453714604783  -0.00142957171459   0.00117012618594 -0.000759721944204 -7.03325328281e-05  0.0054664977375  -0.171998032237 -0.0499232225981 0.00181335584555 1
14.115564 1   0.00370617129879 -0.000371166482078  -0.00142999913521   0.00107417235048 -0.000620162479811 -7.12094957748e-05 0.00546839870958  -0.171997121338 -0.0499234435036 0.00181335584555 1
14.167646 1    0.0036004392358 -0.000416862493943  -0.00131774317007   0.00081689590946 -0.000708258307456  0.000142251301331 0.00547373163513   -0.17219215403 -0.0499812083973 0.00181335584555 1
14.21973 1    0.0035429698134 -0.000403737541458  -0.00127657287582   0.00068117867012 -0.000695350759263  0.000220512355464 0.00547647800862  -0.172263590856 -0.0500026554403 0.00181335584555 1
14.271808 1   0.00327681519818 -0.000416206288554  -0.00115037564304  0.000185918699866 -0.000713782092306  0.000460383724866  0.0054831204317  -0.172481537298 -0.0500716241347 0.00181335584555 1
14.323897 1   0.00294584205766 -0.000379007926985  -0.00104417806557  -0.00041651322217 -0.000678984634754  0.000662135834029 0.00549034056567  -0.172664169626 -0.0501319956227 0.00181335584555 1
14.37598 1   0.00269230425359 -0.000490224857028 -0.000928012968159 -0.000921666269563 -0.000848734780773  0.000882896017226 0.00549384341312  -0.172865009761 -0.0501951984633 0.00181335584555 1
14.428064 1   0.00230989435623 -0.000499433946769   -0.0007946540665  -0.00165847384132 -0.000868401890392   0.00113624423737 0.00550107179871  -0.173094859544 -0.0502697915189 0.00181335584555 1
14.480147 1   0.00202014371885 -0.000532223725766 -0.000714558744295  -0.00223240341049 -0.000918168858176   0.00128831938234 0.00550463496035  -0.173232667143 -0.0503155292146 0.00181335584555 1
14.53223 1   0.00223115642376 -0.000443106086888 -0.000804842586554  -0.00186073550762 -0.000757610832511   0.00111671438009 0.00550159930468  -0.173076925924 -0.0502653462721 0.00181335584555 1
14.584313 1   0.00249594289992  -0.00045397668958 -0.000929041683573 -0.00135085315589  -0.0007777312022 0.000880660102994 0.00549449369622  -0.172862323404 -0.0501974978219 0.00181335584555 1
14.636397 1   0.00297027542977 -0.000413451869109  -0.00108662223879 -0.000494538920362 -0.000717042424128  0.000581269598197 0.00548686377012  -0.172591137571 -0.0501078510617 0.00181335584555 1
14.68848 1  0.00327133440461 -0.00033328100186 -0.00124391790866   0.00010969267828 -0.000580480692085  0.000282295295162 0.00548006073103  -0.172318939594 -0.0500228304558 0.00181335584555 1
14.740558 1   0.00349313316961 -0.000478955001323  -0.00133605952911    0.000574973848 -0.00082876622869 0.000107234267015 0.00547149018415   -0.17215974177 -0.0499724708185 0.00181335584555 1
14.792646 1   0.00377333615181 -0.000444366716331  -0.00153159399072   0.00109003134764 -0.000775943135312 -0.000264583459126 0.00546158120207  -0.171821105928 -0.0498677664474 0.00181335584555 1
14.84473 1   0.00383961195913 -0.000426080319151  -0.00158688964801   0.00125078734709 -0.000731048319938  -0.00036970854749 0.00545875873635  -0.171725051418 -0.0498389427783 0.00181335584555 1
14.896813 1  0.00416252672565 -0.00037179921841 -0.00157301763523   0.00181097941773 -0.000663924910284 -0.000342987102103 0.00546119520306  -0.171751465591  -0.049838666122 0.00181335584555 1
14.948896 1  0.00429775462809 -0.00037417029628 -0.00160890911234    0.0020653715624 -0.000665097806649 -0.000411139877158 0.00545911170186  -0.171689829525   -0.04981771775 0.00181335584555 1
15.00098 1    0.0043397918716 -0.000381219477258  -0.00164357436149   0.00214747573526 -0.000683424354893 -0.000477061129906  0.0054571061362  -0.171629711521 -0.0497993523049 0.00181335584555 1
